country,population,year
GBR,61642600,2008
GBR,61996848,2009
GBR,62348447,2010
GBR,62698362,2011
GBR,63047162,2012
GBR,63395574,2013
GBR,63742977,2014
GBR,64088222,2015
GBR,64430428,2016
GBR,64769452,2017
GBR,65105246,2018
GBR,65436510,2019
GEO,4852143,1999
GEO,4818805,2000
GEO,4793253,2001
GEO,4774895,2002
GEO,4750669,2003
GEO,4742862,2004
GEO,4790009,2005
GEO,4830793,2006
GEO,4824432,2007
GEO,4823790,2008
GEO,4855888,2009
GEO,4902939,2010
GEO,4938341,2011
GEO,4950270,2012
GEO,4942157,2013
GEO,4935880,2014
GEO,4931226,2015
GEO,4928052,2016
GEO,4926330,2017
GEO,4926087,2018
GEO,4927349,2019
GHA,18611539,1999
GHA,18981004,2000
GHA,19366666,2001
GHA,19778785,2002
GHA,20211370,2003
GHA,20650251,2004
GHA,21106982,2005
GHA,21583020,2006
GHA,22068569,2007
GHA,22554470,2008
GHA,23051965,2009
GHA,23571204,2010
GHA,24107863,2011
GHA,24652402,2012
GHA,25199609,2013
GHA,25758108,2014
GHA,26327649,2015
GHA,26908262,2016
GHA,27499924,2017
GHA,28102471,2018
GHA,28715894,2019
GIN,7610461,1999
GIN,7780073,2000
GIN,7821148,2001
GIN,7905703,2002
GIN,8120753,2003
GIN,8316554,2004
GIN,8477819,2005
GIN,8649520,2006
GIN,8860380,2007
GIN,9090759,2008
GIN,9327011,2009
GIN,9570543,2010
